CountryCode,Country,SeriesCode,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
616,Poland,761,"Adolescent birth rate, per 1,000 women",31.3,32.1,29.4,27.3,25.7,22.2,21,19.3,18.5,17.4, ,15.9,15.3,14.7,13.8,13.4,13.8, ,16.2,16.2,15.1,13.8,14.1, , ,
616,Poland,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
616,Poland,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
620,Portugal,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , ,78.8, , , , , , , , ,86.8, , , , , , , , ,
620,Portugal,761,"Adolescent birth rate, per 1,000 women",24.1,23.7,22.9,22.7,21.1,20.2,20.2,20.2,20,20.5,21.4,20.4,20.7,19.6,19.2,18.8,17.1,17.1,16.4,15.6,14.7,13.3,12.1, , ,
620,Portugal,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , ,100, , , , , , , , , , ,
620,Portugal,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
630,Puerto Rico,730,"Percentage contraceptive use for married women ages 15-49", , , , , , ,77.7, , , , , ,84.1, , , , , , , , , , , , ,
630,Puerto Rico,761,"Adolescent birth rate, per 1,000 women",75.7,73.6,74.1,76.2,74.9,74.8,77.2,80.8,76.3,73.8,72.4, ,61.9,58.9,63.1,60.1,59.3,56.8,54.6, , , , ,44.6, ,
630,Puerto Rico,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
630,Puerto Rico,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
634,Qatar,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , ,43.2, , , , , , , , , , , , , ,37.5, , ,
634,Qatar,761,"Adolescent birth rate, per 1,000 women",54.2,46.8,44.8,43.5,38.1, ,25.6,21.1,20.7,20.2,16.7,17.1,20.4,18.4,19.5,17.7,15.8,14.7,15.6,17.7,19.6, ,15.6, , ,
634,Qatar,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , ,100, , ,90.8, , ,
634,Qatar,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , ,84.5, , ,
498,Republic of Moldova,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , ,73.7, , ,62.4, , , , ,67.8, , , , , , ,59.5, , ,
498,Republic of Moldova,761,"Adolescent birth rate, per 1,000 women",57.4,62.2,62.9,65.7,65.2,60.8,53.4,51.8,39.8,36.5,34.3,32.3,29.1,27.7,27.1,29,26.2,26,24.5,25.9,26.2,25.9,26,25.4, ,
498,Republic of Moldova,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , ,98.8, , , , , , , ,98, , , , , , ,98.8, , ,
498,Republic of Moldova,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , ,87.4, , , , , , , ,88.8, , , , , , ,95.4, , ,
638,Reunion,730,"Percentage contraceptive use for married women ages 15-49",72.9, , , , , , ,66.6, , , , , , , , , , , , , , , , , ,
638,Reunion,761,"Adolescent birth rate, per 1,000 women",44, , ,49.7,38.3,38.9,35.6,23.7,36.2,35.6,37.8,39.4,39,35.5,36,42.6,43.9,42.9, , , , , , , ,
638,Reunion,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
638,Reunion,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
642,Romania,730,"Percentage contraceptive use for married women ages 15-49", , , ,57.3, , , , , ,63.8, , , , ,70.3,69.8, , , , , , , , , ,
642,Romania,761,"Adolescent birth rate, per 1,000 women",51.9,51.4,49.1,48.2,45.2,41.8,40,41.6,41.8, ,40.2,35.6,31.4,31.8, ,32.4,33.7,34,37.8,39,35.7,34.9,35.5, , ,
642,Romania,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , ,93.5, , , , , , , , , , ,
642,Romania,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , ,59.1, , , , ,76, , , , , , , , , , ,
643,Russian Federation,730,"Percentage contraceptive use for married women ages 15-49", , , ,62.5,66.8,63.4,65.3, , , , , , , ,83.8, , ,79.5, , , ,68, , , ,
643,Russian Federation,761,"Adolescent birth rate, per 1,000 women",54,53.2,49.7,46.1,48,43.9,37.8,34.6,32.6,28.2,27.3,27,27.6,28,28,27.5,27.9,28,28.9,28.2,26.3,25.9,27.3,26.6, ,
643,Russian Federation,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
643,Russian Federation,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
646,Rwanda,730,"Percentage contraceptive use for married women ages 15-49", , ,21.2, , , ,13.7, , , ,13.2, , , , ,17.4, , ,36.4, , ,51.6, , , ,
646,Rwanda,761,"Adolescent birth rate, per 1,000 women",60, , , , , ,45, ,60, , , ,44, , ,43, , ,41, , , , , , ,
646,Rwanda,762,"Antenatal care coverage, at least one visit, percentage", , ,94.4, , , , , , , ,91.5, , , , ,94.4, , ,95.8, ,98, , , , ,99
646,Rwanda,763,"Antenatal care coverage, at least four visits, percentage", , ,12, , , , , , , ,10.4, , , , ,13.3, , ,23.9, ,35.4, , , , ,43.9
654,Saint Helena,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
654,Saint Helena,761,"Adolescent birth rate, per 1,000 women", , , , , , , , , , ,29.8, , , , , , , , , , , , , , ,
654,Saint Helena,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
654,Saint Helena,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
659,Saint Kitts and Nevis,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
659,Saint Kitts and Nevis,761,"Adolescent birth rate, per 1,000 women",79.1,78.7,78.5,66.6,77,63.5,73.7,67.3,72.1,72.2,75.1,74.7, , , , , , , , , , , , , ,
659,Saint Kitts and Nevis,762,"Antenatal care coverage, at least one visit, percentage",100, , , , , , , , , , , , , ,100,100, ,100, , , , , , , ,
659,Saint Kitts and Nevis,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
662,Saint Lucia,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , ,55.5, , ,
662,Saint Lucia,761,"Adolescent birth rate, per 1,000 women",98.3,98.1,98.6,88.6,89.4,92,71,73.3,59.8,57.5,57.9,65,52.2, ,49.9, , , , , , , , , , ,
662,Saint Lucia,762,"Antenatal care coverage, at least one visit, percentage",100, , , , , , , , , ,47.8, , , ,99.2,99.2,99.2,99.2, , , , ,96.9, , ,
662,Saint Lucia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , ,90.3, , ,
670,Saint Vincent and the Grenadines,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
670,Saint Vincent and the Grenadines,761,"Adolescent birth rate, per 1,000 women", ,98.4,95.4,93.2,94.2,91.5,80.3,83.7,76.5,79.2,80.8,72.4,75.2,71.7, , , , ,63.8,70, , , , , ,
670,Saint Vincent and the Grenadines,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , ,91.8,99, , , , ,95, , ,99.5, , , , , , ,
670,Saint Vincent and the Grenadines,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
882,Samoa,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , ,24.5, , , , , , , , , , ,28.7, , , , , ,
882,Samoa,761,"Adolescent birth rate, per 1,000 women", ,25, , , , , , , , , ,33.6, , , , ,28.6, , , , ,39.2, , , ,
882,Samoa,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , ,93, , , , , ,
882,Samoa,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , ,58.4, , , , , ,
674,San Marino,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
674,San Marino,761,"Adolescent birth rate, per 1,000 women", , ,3.9,1.3,3.7,3.6, ,2.5,1.3,5.5, , , ,5.4,1.3, , , , , , , ,1.4, , ,
674,San Marino,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
674,San Marino,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
678,Sao Tome and Principe,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , ,29.3, , , , , ,30.7, , ,38.4, , , , , ,
678,Sao Tome and Principe,761,"Adolescent birth rate, per 1,000 women", ,107, , , , , , , , , ,91, , , , ,110, , , , , , , , ,
678,Sao Tome and Principe,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , ,90.6, , , , , ,97.3, , ,97.9, , , , , ,
678,Sao Tome and Principe,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , ,72.4, , , , , ,
682,Saudi Arabia,730,"Percentage contraceptive use for married women ages 15-49", , , , , , ,31.8, , ,20.8, , , , , , , ,23.8, , , , , , , ,
682,Saudi Arabia,761,"Adolescent birth rate, per 1,000 women", , , , ,61, , , , ,27.9, , , , , , ,7, , , , , , , , ,
682,Saudi Arabia,762,"Antenatal care coverage, at least one visit, percentage", , , , , , ,90, , , , , , , , , , , ,97, , , , , , ,
682,Saudi Arabia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
686,Senegal,730,"Percentage contraceptive use for married women ages 15-49", , , ,7.4, , , ,12.9, ,10.5, , , , , ,11.8, , , , , ,13.1, ,17.8, ,
686,Senegal,761,"Adolescent birth rate, per 1,000 women",135, , , ,104, , , , , ,96.2, ,100, , , ,96, ,96, , ,80, , , ,
686,Senegal,762,"Antenatal care coverage, at least one visit, percentage", , , ,73.6, , , ,82.1, , ,79, , , , ,87.4, , , , , ,93.3, ,94.5,96.2,
686,Senegal,763,"Antenatal care coverage, at least four visits, percentage", , , ,13.3, , , ,16.6, , , , , , , ,39.8, , , , , ,50, ,46.5,48.1,
688,Serbia,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , ,58.7, , , , , ,41.2, , , ,60.8, , , ,58.4,
688,Serbia,761,"Adolescent birth rate, per 1,000 women", ,40.5,39,39,37,35,33,28.6, , , , ,25.2, ,24.6,23.9,22.8,22.3,22,21.5,19, ,19,22, ,
688,Serbia,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , ,98.2, , , ,99, , , ,98.3,
688,Serbia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , ,94.2, , , ,93.9,
690,Seychelles,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
690,Seychelles,761,"Adolescent birth rate, per 1,000 women",63.9,70,64,75.7,68,59,63,55,52,61,55,59,57,60,54,59,56.9,59.9,60.1,69.1,57.5,70.2, ,61.7, ,
690,Seychelles,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
690,Seychelles,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
694,Sierra Leone,730,"Percentage contraceptive use for married women ages 15-49", , ,2.6, , , , , , , ,4.3, , , , ,5.3, , ,8.2, ,11, , ,16.6, ,
694,Sierra Leone,761,"Adolescent birth rate, per 1,000 women", , ,177.5, , , , , , , ,150.1, , ,113.3,65,143, , , ,122, ,131, , , ,
694,Sierra Leone,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , ,67.9, , , , ,81.1, , ,86.9, ,93, , ,97.1, ,
694,Sierra Leone,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , ,56.1, ,74.7, , ,76, ,
702,Singapore,730,"Percentage contraceptive use for married women ages 15-49", , ,65, , , , ,62, , , , , , , , , , , , , , , , , ,
702,Singapore,761,"Adolescent birth rate, per 1,000 women",7.5,7.7,7.3,7.5,6.7,6,6.3,6.2,6.8,7.3,7.7,6.9,6.2,5.1,5.3,5.7,5.4,5.1,4.9,4,3.6,3.4,3.1,2.6, ,
702,Singapore,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
702,Singapore,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
703,Slovakia,730,"Percentage contraceptive use for married women ages 15-49", ,74, , , , , ,79.8, , , , , , , , , , , , , , , , , ,
703,Slovakia,761,"Adolescent birth rate, per 1,000 women",45.3,50.4,47.7,45.8,38.2,32.1, ,28,26.4,25.2, ,21.3,21.3, ,20.3,20.1,20,20.4,21.4,21.7,22.7,22.6,21.2, , ,
703,Slovakia,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , ,96.9, , , , , , , , , , ,
703,Slovakia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
705,Slovenia,730,"Percentage contraceptive use for married women ages 15-49", , , , , ,78.9, , , , , , , , , , , , , , , , , , , ,
705,Slovenia,761,"Adolescent birth rate, per 1,000 women",24.7,21.5,19.6,16.2,14.2,13.2,11, ,8.5,7.8,7.5,6.6,5.8,5.7,5.3,6.1,4.8,5.1,5.1,5.4,5,5.2,4.5, , ,
705,Slovenia,762,"Antenatal care coverage, at least one visit, percentage", , ,98, , , , , , , , , , , ,99.5, , , , , , , , , , ,
705,Slovenia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
90,Solomon Islands,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , ,34.6, , , , , , , ,
90,Solomon Islands,761,"Adolescent birth rate, per 1,000 women",111, , , , ,95, , , ,80,82, , , , ,70, , ,62, , , , , , ,
90,Solomon Islands,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , ,73.9, , , , , , , ,
90,Solomon Islands,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , ,64.6, , , , , , , ,
706,Somalia,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , ,7.9, , , , , , ,14.6, , , , , , , , ,
706,Somalia,761,"Adolescent birth rate, per 1,000 women", , , ,137, , ,134, , ,154, , ,143, , ,123, , , , , , , , , ,
706,Somalia,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , ,32.3, , , , , , ,26.1, , , , , , , , ,
706,Somalia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , ,6.3, , , , , , , , ,
710,South Africa,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , ,56.3, , , , , ,59.9, , , , , , , , , , ,
710,South Africa,761,"Adolescent birth rate, per 1,000 women", , , , , ,77,78, , , ,55, , , , , , ,54, , , , , , , ,
710,South Africa,762,"Antenatal care coverage, at least one visit, percentage", , , , , ,89, , ,94.2, , , , ,91.9, , , , ,97.1, , , , , , ,
710,South Africa,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , ,73.1, , , , ,56.1, , , , ,87.1, , , , , , ,
728,South Sudan,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , ,3.5, , , ,4, , , , ,
728,South Sudan,761,"Adolescent birth rate, per 1,000 women", , , , , , , , , , , , , , , , , ,155.2,158, , , , , , ,
728,South Sudan,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , ,26.2, , , ,40.3, , ,61.9, ,
728,South Sudan,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , ,17.3, , , , ,
724,Spain,730,"Percentage contraceptive use for married women ages 15-49", , , , , ,81.1, , , ,71.7, , , , , , ,65.7, , , , , , , , ,
724,Spain,761,"Adolescent birth rate, per 1,000 women",11.8,11,10.1,9.2,8.3,7.7,7.4,7.7,7.8, , ,9.5,9.7,10.5,10.7,11.5,12.1,13.3,13.6,12.1,10.9,9.6,9.1, , ,
724,Spain,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
724,Spain,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
144,Sri Lanka,730,"Percentage contraceptive use for married women ages 15-49", , , ,66.1, , , , , , ,70, , , , , , ,68.4, , , , , , , ,
144,Sri Lanka,761,"Adolescent birth rate, per 1,000 women", ,35,30.5,30.6,32.1,31.4,31.2,30.8,30,30.3,30.8,30.3,29.7,29,28, ,24.1, , , , , , , , ,
144,Sri Lanka,762,"Antenatal care coverage, at least one visit, percentage", , , ,80.2, , , , , , ,94.5, , , , , , ,99.4, , , , , , , ,
144,Sri Lanka,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , ,92.5, , , , , , , ,
275,State of Palestine,730,"Percentage contraceptive use for married women ages 15-49", , , , , , ,45.2, , , ,51.4, , , ,50.6, , ,50.2, , ,52.5, , , , ,
275,State of Palestine,761,"Adolescent birth rate, per 1,000 women", ,98.1,130.5,118, , , ,106.8,88, , , , , , , ,59.8, , , ,67, , , , ,
275,State of Palestine,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , ,95.6, , , , , ,98.8, , , ,98, , , ,99.4,
275,State of Palestine,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , ,94, , , ,95.5,
729,Sudan,730,"Percentage contraceptive use for married women ages 15-49",8.7, , ,9.9, , , , , ,7, , , , , , ,9.5, , , ,9, , , , ,
729,Sudan,761,"Adolescent birth rate, per 1,000 women", , ,51,77.7, , , ,72, , , , , , , , , , ,49,102,102, , , , ,
729,Sudan,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , ,74.1, , , ,74.3, , , ,79.1,
729,Sudan,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , ,47.1, , , ,50.7,
736,Sudan (former),730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
736,Sudan (former),761,"Adolescent birth rate, per 1,000 women", , , , , , , , , , , , , , , , , , , , , , , , , ,
736,Sudan (former),762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , ,63.7, , , , , , , , ,
736,Sudan (former),763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
740,Suriname,730,"Percentage contraceptive use for married women ages 15-49", , ,48, , , , , , , ,42.1, , , , , ,45.6, , , ,47.6, , , , ,
740,Suriname,761,"Adolescent birth rate, per 1,000 women",75.5,64.5,69.9,72.6,69.4,71.2,76.8,87.4,69.4,66.9,60.3,71.8,73.4,62.5,62.7,58.5,60.1,65.8, , , , , , , ,
740,Suriname,762,"Antenatal care coverage, at least one visit, percentage", , , , , , ,91, , , ,90.6, , , , , ,89.9, , , ,90.9, , , , ,
740,Suriname,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , ,66.8, , , , ,
748,Swaziland,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , ,27.7, ,40.1, , , , ,50.6, , ,65.2, , , , ,
748,Swaziland,761,"Adolescent birth rate, per 1,000 women", ,134, , , , , , , , ,102.8, , , ,111, , ,71,93.7,89, , , , , ,
748,Swaziland,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , ,86.6, ,89.8, , , , ,84.8, , ,96.8, , , , ,
748,Swaziland,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , ,79.3, , ,76.6, , , , ,
752,Sweden,730,"Percentage contraceptive use for married women ages 15-49", , , , , , ,75.2, , , , , , , , , , , , , , , , , , ,
752,Sweden,761,"Adolescent birth rate, per 1,000 women",14,13.1,11.8,11,9.5,8.6,7.8,5,4.7,4.9, ,6.5,6.5, ,5.7,5.9,6,6,5.9,5.8,5.7,5.6,5.1,3.5,3.4,
752,Sweden,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , ,100, , , , , , , , , , ,
752,Sweden,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
756,Switzerland,730,"Percentage contraceptive use for married women ages 15-49", , , , , ,82, , , , , , , , , , , , , , , , , , , ,
756,Switzerland,761,"Adolescent birth rate, per 1,000 women",6.8,7.8,7.1,6.6,5.9,5.5,5.7,5.6,5.6,5.9,6,5.6,5.3,5.2,5.1,5.1,4.6,4.3,4.3,4.1,3.9,3.3,3.3, , ,
756,Switzerland,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
756,Switzerland,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
760,Syrian Arab Republic,730,"Percentage contraceptive use for married women ages 15-49", , , ,39.6, , , , , , , ,46.6, , , , ,58.3, , , ,53.9, , , , ,
760,Syrian Arab Republic,761,"Adolescent birth rate, per 1,000 women", ,71, ,61, , , , , ,58, , , , ,75, , , , , , , , , , ,
760,Syrian Arab Republic,762,"Antenatal care coverage, at least one visit, percentage", , , ,51, , , , , , ,71.2, , , , , ,84, , ,87.7, , , , , ,
760,Syrian Arab Republic,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , ,63.7, , , , , ,
762,Tajikistan,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , ,33.9, , , , ,37.9, ,37.1, , , , ,27.9, , ,
762,Tajikistan,761,"Adolescent birth rate, per 1,000 women",40.5,46.4,41.3,53.5,56.2, , , , ,30.6,37.3, , , , ,27.3, , , , ,47, , , , ,
762,Tajikistan,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , ,71.3, , , , ,77.1, ,88.8, , , , ,78.8, , ,
762,Tajikistan,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , ,49.4, , , , ,52.5, , ,
764,Thailand,730,"Percentage contraceptive use for married women ages 15-49", , , ,73.9, , ,75.2,72.2, , , ,77.8, , , ,71.5,81.1, , ,79.6, , ,79.3, , ,
764,Thailand,761,"Adolescent birth rate, per 1,000 women",42.5,42.7,41.7, ,42,41.3,40.9,37.4,41.6,33.8,32.9,35.2,35.8,35.9, ,43.6,44,46.3,48.4,49.8,50.9,55.6,60, , ,
764,Thailand,762,"Antenatal care coverage, at least one visit, percentage", , , , , , ,85.9, , , ,91.8, , , , , ,97.8, , ,99.1, , ,98.1, , ,
764,Thailand,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , ,79.6, , ,93.4, , ,
807,The former Yugoslav Republic of Macedonia,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , ,40.2, , , ,
807,The former Yugoslav Republic of Macedonia,761,"Adolescent birth rate, per 1,000 women",46.3,44.3,42.6,45.8,45,43.8,38.7,36.6, ,30.8,31.6,26.4,25.1, ,22.2,21.1,19.5,19.8,18.9,19,18.8,17.5,18.5, , ,
807,The former Yugoslav Republic of Macedonia,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , ,100, , ,81, , , , , ,98.1, , , , ,98.6, , , ,
807,The former Yugoslav Republic of Macedonia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , ,93.9, , , ,
626,Timor-Leste,730,"Percentage contraceptive use for married women ages 15-49", ,25.1, , ,22.6, , ,26.7, , , ,8, ,10, , , ,19.8, , ,22.3, , , , ,
626,Timor-Leste,761,"Adolescent birth rate, per 1,000 women", , ,85, , , , ,80, , , ,78.3,75, ,59.2, , ,54, , , , , , , ,
626,Timor-Leste,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , ,70.9, , , , ,42.5,60.5, , , , , , ,84.4, , , , ,
626,Timor-Leste,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , ,29.6, , , , , , ,55.1, , , , ,
768,Togo,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , ,23.5, ,25.7, , , , , ,16.8, , , ,15.2, , , ,19.9,
768,Togo,761,"Adolescent birth rate, per 1,000 women", , , , , ,89, , , , , , , , , , , , , ,88, ,77, , , ,
768,Togo,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , ,82, ,72.9, , ,84.8, , ,84.1, , , ,71.6, , , ,72.7,
768,Togo,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , ,46.3, , , , , , , , , , , ,54.9, , , ,57.2,
772,Tokelau,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , , , , ,
772,Tokelau,761,"Adolescent birth rate, per 1,000 women", , , , ,82.5, , , , ,45, , , , , , , , , ,29.8, , , , , ,
772,Tokelau,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
772,Tokelau,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , , , ,
776,Tonga,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , , , , , , , , , , , , , ,34.1, , ,
776,Tonga,761,"Adolescent birth rate, per 1,000 women",25.2, , ,27.2,18.1,21.2,21.3,19.5,22,29.8,18.7, ,23.6,19.7, , ,15.9, , , ,24,30, , , ,
776,Tonga,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , , , , , , , , , ,99, ,97.9, ,99, , ,
776,Tonga,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , ,70.4, , ,
780,Trinidad and Tobago,730,"Percentage contraceptive use for married women ages 15-49", , , , , , , , , , ,38.2, , , , , ,42.5, , , , , , , , ,
780,Trinidad and Tobago,761,"Adolescent birth rate, per 1,000 women",58.5,56.3,57.1,51,44.8,43.1, ,40.1,37.8,38.6,37.3,37.1,34.3, ,35.2,31.9,35.5, , , , , , , , ,
780,Trinidad and Tobago,762,"Antenatal care coverage, at least one visit, percentage", , , , , , , , , , ,92.4, , , , , ,95.7, , , , , , , , ,
780,Trinidad and Tobago,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , , , , , , , , ,100, ,
788,Tunisia,730,"Percentage contraceptive use for married women ages 15-49", , , , , ,60, , , , ,65.5,62.6, , , , ,60.2, , , , , ,62.5, , ,
788,Tunisia,761,"Adolescent birth rate, per 1,000 women", , ,18.4,18.1,15.3,13.3, ,9.7,8.5, , , , , , ,6.2,6.1,6, , ,3,6.8, , , ,
788,Tunisia,762,"Antenatal care coverage, at least one visit, percentage", , , , , ,79, , , , ,91.5, , , , , ,96, , , , , ,98.1, , ,
788,Tunisia,763,"Antenatal care coverage, at least four visits, percentage", , , , , , , , , , , , , , , , ,67.5, , , , , ,85.1, , ,
792,Turkey,730,"Percentage contraceptive use for married women ages 15-49", , , ,62.6, , , , ,63.9, , , , ,71, , , , ,73, , , , ,73.5, ,
792,Turkey,761,"Adolescent birth rate, per 1,000 women", ,57, , , , ,62, , , , ,51, , , , ,38, , ,35.1,31.5,30.8,29.3, , ,
792,Turkey,762,"Antenatal care coverage, at least one visit, percentage", , , ,62.3, , , , ,67.5, , , , ,80.9, , , , ,92, , , , ,96.9, ,
